           SPR  RGF PLF SLF   
FH-1      1.468 3.30 0.166 0.10
FJ-1       1.605 3.64 0.154 0.10
F-86A     2.168 4.87 0.177 2.90
F9F-2     2.054 4.72 0.275 1.10
F-94A     2.467 4.11 0.298 1.00
F3D-1     1.294 3.75 0.150 0.90
F-89A      2.183 3.97 0.000 2.40
XF10F-1    2.426 4.65 0.117 1.80
F9F-6      2.607 3.84 0.155 2.30
F100-A     4.567 4.92 0.138 3.20
F4D-1      4.588 3.82 0.249 3.50
F11F-1     3.618 4.32 0.143 2.80
F-101A     5.855 4.53 0.172 2.50
F3H-2      2.898 4.48 0.178 3.00
F102-A     3.880 5.39 0.101 3.00
F-8A       0.455 4.99 0.008 2.64
F-104A     8.088 4.50 0.251 2.70
F-105B     6.502 5.20 0.366 2.90
YF-107A   6.081 5.65 0.106 2.90
F-106A    7.105 5.40 0.089 3.20
F-4B      8.548 4.20 0.222 2.90

             
