Creals X1 X2 X3 X4 X5 X6 X7 X8 X9 
AllB	0.1818	0.6	0.3333	0.8125	0.6429	0	0.3333	1	0.9677	
AllF	0	0.6	0	0.4375	1	0.0667	0	1	1	
CorF	0.4545	0.2	0	0.9063	0.0714	0.9333	0.1333	0	0.0484	
Crac	0.5455	0.4	1	0.4375	0.2857	0.2	0.4667	1	0.4516	
Froo	0.5455	0.2	0.3333	0.3906	0.0714	0.2667	0.8667	0.5	0.0323	
FruB	0.6364	0.4	0	0.75	0.3571	0.4667	0.8	1	0.5484	
JRCN	0.5455	0.2	0.3333	0.5313	0.0714	0.6667	0.4	1	0.129	
JRFN	0.8182	0.4	0.3333	0.5313	0.1429	0.8667	0.6	1	0.2419	
MuCB	1	0.4	0.6667	0.4688	0.2143	0.6667	0.8667	1	0.4516	
Nut&	0.6364	0.2	0.3333	0.5938	0	0.5333	0.6	0.5	0.0645	
NGAR	0.8182	0.4	0.6667	0.6875	0.2143	0.9333	0.4667	1	0.3548	
NutW	0.3636	0.4	0	0.5313	0.2143	0.7333	0.1333	1	0.2258	
Prod	0.4545	0.4	0	1	0.0714	0.8667	0.2	1	0.0806	
RaBr	0.6364	0.4	0.3333	0.6563	0.3571	0.4667	0.8	0.5	0.7097	
Rais	0.3636	0.2	0	0	0.1429	0.5333	0.4	1	0.2903	
Smac	0.5455	0.2	0.3333	0.2188	0.0714	0.1333	1	0.5	0.0645	
Spec	0.5455	1	0	0.7188	0.0714	0.6	0.2	0	0.1129	
