   평균퍼팅수 그린적중율 파세이브율 파브레이크율 평균타수   상금율
1       30.36      82.72      90.12        23.77    69.58 100.0
2       30.85      76.94      85.29        23.69    70.85  63.7
3       31.33      79.63      88.52        19.26    70.93  59.4
4       30.64      79.32      87.65        21.30    70.47  50.2
5       30.97      68.86      79.97        17.17    72.79  44.0
6       31.09      78.59      86.03        20.48    71.23  38.0
7       31.25      77.47      86.88        16.82    71.61  30.5
8       29.81      69.53      85.94        15.63    71.84  21.8
9       30.36      70.37      83.95        16.82    71.97  21.1
10      31.91      78.28      87.71        15.32    71.73  19.2
11      31.67      73.40      83.00        17.34    72.15  19.1
12      30.55      73.84      82.64        19.79    71.97  18.1
13      31.40      70.19      83.33        15.05    72.39  16.4
14      30.79      69.70      80.39        17.32    72.91  16.0
15      30.48      64.81      80.04        13.37    73.44  15.5
16      32.18      79.41      83.17        16.67    72.18  14.9
17      30.46      68.10      81.75        16.19    72.57  14.4
18      31.47      72.88      82.52        15.36    72.74  13.2
19      30.87      68.10      80.29        16.31    72.90  12.9
20      31.17      73.49      84.72        15.59    72.22  12.9
21      30.80      61.30      76.67        12.04    74.73  11.1
22      31.47      74.07      81.94        16.98    72.61  11.1
23      31.73      71.21      80.47        14.65    73.27  10.0
24      31.75      68.85      78.77        12.00    74.07   9.8
25      30.87      68.15      82.96        13.15    73.00   9.0
26      30.88      63.37      78.82        12.67    73.84   9.0
27      31.97      69.63      81.30        14.07    73.43   8.5
28      31.00      64.58      80.03        12.67    74.03   8.5
29      31.56      67.88      77.60        13.89    73.75   8.4
30      32.78      73.77      80.86        13.43    73.44   8.3
31      31.25      69.97      76.43        17.51    73.45   8.1
32      31.91      71.90      79.74        13.24    73.53   8.0
33      31.94      71.55      79.46        14.31    73.73   7.9
34      31.58      68.35      78.76        13.40    73.79   7.9
35      31.55      68.86      78.62        13.97    74.00   7.8
36      31.82      69.28      79.08        13.24    73.82   7.7
37      32.08      70.52      79.48        12.96    73.69   7.6
38      32.03      69.97      80.21        12.15    73.78   7.5
39      31.59      64.93      78.47        12.15    74.38   7.3
40      31.00      66.88      80.77        14.74    73.50   7.3
41      31.10      71.51      79.57        16.31    73.06   7.1
42      32.67      72.39      76.94        13.47    74.36   6.8
43      31.81      68.23      77.08        12.85    74.38   6.8
44      32.32      72.62      78.37        13.89    73.64   6.7
45      31.73      71.79      81.84        13.25    73.38   6.6
46      30.79      63.07      78.59        11.76    74.06   6.5
47      31.70      65.66      76.26        12.63    74.52   6.3
48      31.20      70.19      80.19        14.44    73.53   6.2
49      32.50      71.35      78.13        12.67    74.06   5.9
50      31.07      68.72      80.36        14.88    73.39   5.1
