선수 평균퍼팅수 그린적중율 파세이브율 파브레이크율 상금 평균타수
        1 30.36	82.72	90.12	23.77	315436.000  69.58      
        2 30.85	76.94	85.29	23.69	200839.667  70.85
        3 31.33	79.63	88.52	19.26	187241.286  70.93
        4 30.64	79.32	87.65	21.30	158268.667  70.47
        5 30.97	68.86	79.97	17.17	138661.596  72.79
        6 31.09	78.59	86.03	20.48	119905.952  71.23
        7 31.25	77.47	86.88	16.82	 96346.453  71.61
        8 29.81	69.53	85.94	15.63	 68907.143  71.84
        9 30.36	70.37	83.95	16.82	 66682.643  71.97
       10 31.91	78.28	87.71	15.32	 60695.000  71.73
       11 31.67	73.40	83.00	17.34	 60231.000  72.15
       12 30.55	73.84	82.64	19.79	 56967.500  71.97
       13 31.40	70.19	83.33	15.05	 51750.167  72.39
       14 30.79	69.70	80.39	17.32	 50586.333  72.91
       15 30.48	64.81	80.04	13.37    48928.333  73.44
       16 32.18	79.41	83.17	16.67	 46952.262  72.18
       17 30.46	68.10	81.75	16.19	 45475.250  72.57
       18 31.47	72.88	82.52	15.36	 41677.499  72.74
       19 30.87	68.10	80.29	16.31    40802.500  72.90
       20 31.17	73.49	84.72	15.59	 40778.167  72.22
       21 30.80	61.30	76.67	12.04	 35052.500  74.73
       22 31.47	74.07	81.94	16.98	 34942.763  72.61
       23 31.73	71.21	80.47	14.65    31581.476  73.27
       24 31.75	68.85	78.77	12.00	 30957.000  74.07
       25 30.87	68.15	82.96	13.15	 28426.500  73.00
       26 30.88	63.37	78.82	12.67	 28324.167  73.84
       27 31.97	69.63	81.30	14.07	 26684.833  73.43
       28 31.00	64.58	80.03	12.67    26676.429  74.03
       29 31.56	67.88	77.60	13.89	 26373.286  73.75
       30 32.78	73.77	80.86	13.43	 26331.333  73.44
       31 31.25	69.97	76.43	17.51	 25471.833  73.45
       32 31.91	71.90	79.74	13.24	 25235.000  73.53
       33 31.94	71.55	79.46	14.31	 24949.333  73.73
       34 31.58	68.35	78.76	13.40	 24896.250  73.79
       35 31.55	68.86	78.62	13.97	 24581.500  74.00
       36 31.82	69.28	79.08	13.24	 24397.917  73.82
       37 32.08	70.52	79.48	12.96	 24043.333  73.69
       38 32.03	69.97	80.21	12.15	 23596.333  73.78
       39 31.59	64.93	78.47	12.15	 23161.429  74.38
       40 31.00 66.88	80.77	14.74	 23052.917  73.50
       41 31.10 71.51	79.57	16.31	 22349.583  73.06
       42 32.67	72.39	76.94	13.47	 21475.833  74.36
       43 31.81	68.23	77.08	12.85	 21440.000  74.38
       44 32.32	72.62	78.37	13.89	 21267.809  73.64
       45 31.73	71.79	81.84	13.25	 20693.333  73.38
       46 30.79	63.07	78.59	11.76	 20448.000  74.06
       47 31.70	65.66	76.26	12.63	 19851.000  74.52
       48 31.20	70.19	80.19	14.44	 19615.536  73.53
       49 32.50	71.35	78.13	12.67	 18768.096  74.06
       50 31.07	68.72	80.36	14.88	 16204.429  73.39
