         L        B        H       OH        U        S           Q      FH       NB      NH     BL        HL
  5F   -2.27	-0.781	 -1.74	  -1.33	   -1.89    -0.902	-1.48	-1.9	-1.41	-1.06	 1.412	  0.496
  7M	0.0364	 0.3764	 -0.966	  -0.685    0.3166  -0.652	-0.922	 0.1855	-0.453	 0.4895	 0.2161	 -1.12
 10F   -0.707	 1.557	 -0.327    0.1476  -0.418   -0.401	 1.124	 0.511	 0.6635	-0.8	 1.718	  0.3807
 13M	0.928	 1.439	 -0.675	  -0.096    1.261    0.1838	 1.557	 1.357	 2.577   0.7475	 0.2161	 -1.66
 26M	1.671	 1.676	  1.163	   1.621    2.171    1.52	 2.053	 0.4459	 0.9187	 0.2315	-0.213	 -0.465
 32M   -0.558	 0.8488	 -1.93	  -1.07	   -0.278   -1.4	-0.364	-0.856	-0.293	 1.263   1.074	 -1.58
 43F   -1.45	 0.2583	 -1.55	  -1.01	   -1.01    -1.15	-0.488	-0.596	-1.09	-0.026	 1.442	 -0.196
 45F   -0.409	-0.45	 -1.45	  -2.63	   -1.05    -1.57	-1.11	-0.596	-0.772	-2.09	 0.0015	 -1.2
 46F   -1.38	 1.085	 -0.675	  -0.173   -0.208   -0.401	 0.8756	-1.77	-0.453	-0.284	 1.994	  0.7268
 52M   -0.558	-0.096	 -0.579	  -0.173   -0.313   -0.401	-0.116	 0.4459	-0.134	 0.7475	 0.3694	 -0.081
 58F	0.2593	-1.04	  0.1955   0.1476   0.3516   0.1838	-0.24	 1.227	 1.142	 0.7475	-0.979	 -0.081
 59F   -0.112	-2.06	 -0.772	   0.7241  -0.733   -0.067	-0.612	-1.51	-1.41	 0.2315	-1.41	 -0.734
 63F	0.5565	 0.7307	  0.4858   1.236    0.8414   1.604	 1.247	-1.25	-0.772	 0.2315	 0.0322	 -0.081
 64F   -1.75	-1.04	 -0.579	  -1.84	   -1.75    -2.53	-2.35	-1.25	-0.453	-1.32	 0.5839	  1.265
 66M   -0.409    1.203	 -0.966	   0.0836  -0.068   -1.49	 0.8756	 1.227	 0.6635	 2.295	 1.197	 -0.658
 70F   -1.87	-0.923	 -0.385	  -0.493   -1.96    -1.15	-1.11	-1.12	-2.37	-0.026	 0.9211	  1.611
 83F	1.077	 1.557	 -0.385	   0.2117   1.191    1.103	 0.3797	 0.4459	 1.381	-0.8	 0.1854	 -1.5
 85M	0.8537	 0.8488	  0.1955  -0.557    0.9464   0.3091	-0.364	-1.64	-0.772	-0.8	-0.121	 -0.658
 86M   -0.186	 0.0221	  0.9696   0.3398  -0.033    0.3091	 0.1317	 0.7062	-0.293	-0.8	 0.1548	  1.265
 93M   -1.15	 0.6126	 -1.35	  -1.07	   -0.558   -1.24	 0.2557	-0.465	 0.6635	-1.06	 1.442	 -0.311
 96M	1.002	 1.321	  1.744	   1.749    1.261    1.771	 2.115	-0.596	-0.453	 0.7475	 0.0935	  0.8037
 97F   -1.6	 1.085	  0.0019   0.1476  -1.36    -0.735	-0.116	 0.5761	 0.6635	 0.8764	 2.209	  1.765
 99M	0.928	 0.3764	  0.9696   1.365    0.6665   0.6015	 0.7516	-0.205	-1.25	-1.06	-0.52	  0.0731
102M	0.185	 0.1402	  0.1955  -0.813    0.488   -0.15	-0.488	 0.4459	 1.142	-1.32	-0.06	 -0.004
112M	0.4822	-2.22	  0.8342  -0.045   -0.488   -0.234	-0.86	 0.6411	 1.302	-0.284	-1.96	  0.3807
120M	2.191	 0.4945	  0.9696   0.2117   2.451    0.8521	 0.5036	 1.748	 1.302	 2.295	-1.38	 -1.16
121F	0.0364	-0.45	 -1.16	  -1.33	   -0.418   -0.902	-0.86	-0.335	-0.453	-0.284	-0.366	 -1.31
125M   -0.261	-0.686	  1.647	   1.236   -0.313    0.1838	 0.9995	-0.856	-0.612	-1.45	-0.305	  2.073
136M	1.225	-1.04	 -0.385	   0.7241   0.8414   1.103	-0.116	 1.097	 0.5838	-0.026	-1.72	 -1.66
137F	0.185	-0.923	 -0.385	  -0.557   -0.208    0.3091	-1.23	 1.487	 0.1053	 0.2315	-0.826	 -0.619
138M	0.3336	-0.332	 -0.192	   0.2117   0.0367   0.1838	-0.116	-0.856	-0.772	 0.7475	-0.52	 -0.581
139M	0.0364	-0.923	 -0.385	   0.0836  -0.698   -0.067	-0.364	-0.335	 0.504	 1.005	-0.703	 -0.465
140F	0.7794	 0.0221	  0.9696   1.749    0.7714   0.9356	 1.619	 0.7062	 0.823	-1.83	-0.642	  0.2269
143M	0.185	 0.0221	  0.7761  -0.429    0.1067   0.1002	-0.116	 0.3157	-0.214	-0.542	-0.152	  0.6499
144F	1.077	-0.521	  0.9696   1.493    0.9114   1.144	 0.2557	 0.8364	-0.772	 1.005	-1.22	 -0.081
145F	0.185	-0.096	  1.744	   0.7241   0.1417   1.855	 0.5036	-0.075	 0.504	 0.6443	-0.244    1.688
146F	0.0364	-0.509	  0.389	  -1.33	   -0.908    0.1002	-1.48	 0.7062	-0.772	-0.155	-0.428	  0.3807
148M	0.185	-1.75	  0.2922   0.3398   0.0717  -0.15	-0.488	-0.856	-0.772	-0.026	-1.41	  0.1115
151M   -1	-0.805	  0.389	   0.0836  -0.628   -0.15	-0.86	-0.075	 0.0255	 0.2315	 0.2468	  1.496
152M	1.225	 0.9669	  1.937	   0.9803   1.436    1.395	 0.9995	 2.008	 1.78	 1.263	-0.336	  0.8037
