背腊1 背腊2  背腊3 背腊4 利己1 利己2 利己3 利己4  利己5 流诀1 流诀2 流诀3 流诀4
1040    0     0    0  215  281  372  128   44  239    6    1  794
   0 1108    0    0  208  285  386  176   53  309   11    7  781
   0    0 1237    0  138  284  446  238  131  233   70   12  922
   0    0    0  968   83  197  385  186  117   53  199  215  501
 215  208  138   83  644    0    0    0    0  122   30   20  472
 281  285  284  197    0 1047    0    0    0  226   51   66  704
 372  386  446  385    0    0 1589    0    0  306  115   96 1072
 128  176  238  186    0    0    0  728    0  130   59   38  501
  44   53  131  117    0    0    0    0  345   50   31   15  249
 239  309  233   53  122  226  306  130   50  834    0    0    0
   6   11   70  199   30   51  115   59   31    0  286    0    0
   1    7   12  215   20   66   96   38   15    0    0  235    0
 794  781  922  501  472  704 1072  501  249    0    0    0 2998
