Creals X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 
AllB	0.1818	0.6	0.3333	0.8125	0.6429	0	0.3333	1	0.9677	0
AllF	0	0.6	0	0.4375	1	0.0667	0	1	1	0
AppJ	0.5455	0.2	0	0.3906	0.0714	0.2667	0.9333	0.5	0.0323	0
CorF	0.4545	0.2	0	0.9063	0.0714	0.9333	0.1333	0	0.0484	0
CorP	0.5455	0	0	0.2813	0.0714	0.4	0.8	0.5	0	0
Crac	0.5455	0.4	1	0.4375	0.2857	0.2	0.4667	1	0.4516	0
Cris	0.5455	0.2	0	0.6875	0.0714	0.9333	0.2	1	0.0323	0
Froo	0.5455	0.2	0.3333	0.3906	0.0714	0.2667	0.8667	0.5	0.0323	0
FroF	0.5455	0	0	0.625	0.0714	0.4667	0.7333	0	0.0161	0
FrMW	0.4545	0.4	0	0	0.2143	0.4667	0.4667	0.5	0.2581	0
FruB	0.6364	0.4	0	0.75	0.3571	0.4667	0.8	1	0.5484	0
JRCN	0.5455	0.2	0.3333	0.5313	0.0714	0.6667	0.4	1	0.129	1
JRFN	0.8182	0.4	0.3333	0.5313	0.1429	0.8667	0.6	1	0.2419	1
MuCB	1	0.4	0.6667	0.4688	0.2143	0.6667	0.8667	1	0.4516	0
Nut&	0.6364	0.2	0.3333	0.5938	0	0.5333	0.6	0.5	0.0645	0
NGAR	0.8182	0.4	0.6667	0.6875	0.2143	0.9333	0.4667	1	0.3548	0
NutW	0.3636	0.4	0	0.5313	0.2143	0.7333	0.1333	1	0.2258	0
Prod	0.4545	0.4	0	1	0.0714	0.8667	0.2	1	0.0806	1
RaBr	0.6364	0.4	0.3333	0.6563	0.3571	0.4667	0.8	0.5	0.7097	0
Rais	0.3636	0.2	0	0	0.1429	0.5333	0.4	1	0.2903	0
RiKr	0.5455	0.2	0	0.9063	0	1	0.2	0	0.0484	0
Smac	0.5455	0.2	0.3333	0.2188	0.0714	0.1333	1	0.5	0.0645	0
Spec	0.5455	1	0	0.7188	0.0714	0.6	0.2	0	0.1129	0
