번호       국가 소고기 돼지닭  계란 우유 생선 곡식 전분 콩견과  과일채소
1      알바니아   10.1    1.4  0.5  8.9  0.2 42.3  0.6    5.5      1.7
2    오스트리아    8.9   14.0  4.3 19.9  2.1 28.0  3.6    1.3      4.3
3   벨기에-룩셈   13.5    9.3  4.1 17.5  4.5 26.6  5.7    2.1      4.0
4      불가리아    7.8    6.0  1.6  8.3  1.2 56.7  1.1    3.7      4.2
5          체코    9.7   11.4  2.8 12.5  2.0 34.3  5.0    1.1      4.0
6        덴마크   10.6   10.8  3.7 25.0  9.9 21.9  4.8    0.7      2.4
7          동독    8.4   11.6  3.7 11.1  5.4 24.6  6.5    0.8      3.6
8        핀랜드    9.5    4.9  2.7 33.7  5.8 26.3  5.1    1.0      1.4
9        프랑스   18.0    9.9  3.3 19.5  5.7 28.1  4.8    2.4      6.5
10       그리스   10.2    3.0  2.8 17.6  5.9 41.7  2.2    7.8      6.5
11       헝가리    5.3   12.4  2.9  9.7  0.3 40.1  4.0    5.4      4.2
12     아일랜드   13.9   10.0  4.7 25.8  2.2 24.0  6.2    1.6      2.9
13       이탤리    9.0    5.1  2.9 13.7  3.4 36.8  2.1    4.3      6.7
14     네덜란드    9.5   13.6  3.6 23.4  2.5 22.4  4.2    1.8      3.7
15     노르웨이    9.4    4.7  2.7 23.3  9.7 23.0  4.6    1.6      2.7
16       폴랜드    6.9   10.2  2.7 19.3  3.0 36.1  5.9    2.0      6.6
17     포르투갈    6.2    3.7  1.1  4.9 14.2 27.0  5.9    4.7      7.9
18     루마니아    6.2    6.3  1.5 11.1  1.0 49.6  3.1    5.3      2.8
19       스페인    7.1    3.4  3.1  8.6  7.0 29.2  5.7    5.9      7.2
20       스웨덴    9.9    7.8  3.5 24.7  7.5 19.5  3.7    1.4      2.0
21       스위스   13.1   10.1  3.1 23.8  2.3 25.6  2.8    2.4      4.9
22         영국   17.4    5.7  4.7 20.6  4.3 24.3  4.7    3.4      3.3
23         소련    9.3    4.6  2.1 16.6  3.0 43.6  6.4    3.4      2.9
24         서독   11.4   12.5  4.1 18.8  3.4 18.6  5.2    1.5      3.8
25 유고슬라비아    4.4    5.0  1.2  9.5  0.6 55.9  3.0    5.7      3.2

