sexm sexf edu1 edu2 edu3 edu4 edu5 lod1 lod2 lod3 lod4 sto1 sto2 hou1 hou2 age1 age2 age3 age4 age5 siz1 siz2 siz3 siz4 siz5
469   0 102 164  69  65  69  62 151 224 32  54 415 35 434 18 111 169  84  87 42  40  81 161 145
  0 531  94 163  91 102  81  58 142 302 29  67 464 47 484 22 136 187 104  82 41  47  94 168 181
102  94 196   0   0   0   0  17  59 105 15  12 184 11 185  9  27  54  47  59 19  17  35  70  55
164 163   0 327   0   0   0  45 116 151 15  26 301 21 306  0  55 125  84  63 43  34  67 110  73
 69  91   0   0 160   0   0  16  37  98  9  19 141 14 146 14  47  60  27  12 12  13  34  52  49
 65 102   0   0   0 167   0  27  39  87 14  27 140 19 148 16  62  63  16  10  8  15  21  57  66
 69  81   0   0   0   0 150  15  42  85  8  37 113 17 133  1  56  54  14  25  1   8  18  40  83
 62  58  17  45  16  27  15 120   0   0  0  11 109  7 113  3  23  68  20   6  7  20  27  48  18
151 142  59 116  37  39  42   0 293   0  0  60 233 48 245  9  24  91  80  89 59  33  62  72  67
224 302 105 151  98  87  85   0   0 526  0  45 481 23 503 22 180 182  79  63 11  29  80 191 215
 32  29  15  15   9  14   8   0   0   0 61   5  56  4  57  6  20  15   9  11  6   5   6  18  26
 54  67  12  26  19  27  37  11  60  45  5 121   0 39  82  2  18  35  27  39  4   9  22  36  50
415 464 184 301 141 140 113 109 233 481 56   0 879 43 836 38 229 321 161 130 79  78 153 293 276
 35  47  11  21  14  19  17   7  48  23  4  39  43 82   0  3  11  27  20  21  7  12  12  25  26
434 484 185 306 146 148 133 113 245 503 57  82 836  0 918 37 236 329 168 148 76  75 163 304 300
 18  22   9   0  14  16   1   3   9  22  6   2  38  3  37 40   0   0   0   0  2   4   8  15  11
111 136  27  55  47  62  56  23  24 180 20  18 229 11 236  0 247   0   0   0 13  16  34 102  82
169 187  54 125  60  63  54  68  91 182 15  35 321 27 329  0   0 356   0   0 31  34  71 100 120
 84 104  47  84  27  16  14  20  80  79  9  27 161 20 168  0   0   0 188   0 25  20  26  60  57
 87  82  59  63  12  10  25   6  89  63 11  39 130 21 148  0   0   0   0 169 12  13  36  52  56
 42  41  19  43  12   8   1   7  59  11  6   4  79  7  76  2  13  31  25  12 83   0   0   0   0
 40  47  17  34  13  15   8  20  33  29  5   9  78 12  75  4  16  34  20  13  0  87   0   0   0
 81  94  35  67  34  21  18  27  62  80  6  22 153 12 163  8  34  71  26  36  0   0 175   0   0
161 168  70 110  52  57  40  48  72 191 18  36 293 25 304 15 102 100  60  52  0   0   0 329   0
145 181  55  73  49  66  83  18  67 215 26  50 276 26 300 11  82 120  57  56  0   0   0   0 326
