   x1	x2	x3	x4	x5	x6	x7	x8	y1	y2	y3	y4	y5	y6	y7	y8	z1	z2	z3
1  174	67	31.6	25.8	18.3	43.51	34.08	7.7	64	56	90.57	26.3	6.91	62	309	0.11	123	48	40
2  185	76	35.7	31	20.7	47.24	35.47	4.28	57	57	93.19	30.3	6.77	68	340	0.11	138	48	38
3  181	74	34.6	28.8	20	46.08	34.53	6.16	56.5	57	106.22	28.4	6.88	64	328	0.11	123	56	41
4  180	74.5	34.4	28.4	20.6	46.33	34.05	6.4	56	54	96.03	21.3	7.12	57	255	0.11	119	52	40
5  186	85	37	33.4	22	49.68	36.15	5.32	55	57	96.03	28	6.89	63	316	0.11	118	52	36
6  177	72	34.5	27	18	44.92	33.96	3.82	55	51	102.51	17.7	7.37	51	176	0.11	118	48	32
7  181	65	34	27.4	20.1	45.03	33.62	4	54.5	50	96.03	15.2	7.76	49	107	0.12	132	40	38
8  173	70	31.3	25.2	19.2	43.76	33.29	7.44	54	56	81.87	25.7	6.95	61	268	0.11	126	56	33
9  183	73	34.9	27.9	19.3	44.86	33.98	3.82	54	53	99.13	20.5	7.13	56	227	0.11	116	40	31
10 183	75	34.6	28	20.6	45.46	33.65	10.09	53	53	81.87	19.7	7.13	55	226	0.11	121	52	36
11 177	70	32	26	19.1	43.56	33.72	4.66	53	51	97.55	17.5	7.37	51	167	0.11	132	48	38
12 181	78	32.6	25.7	19.3	42.87	33.12	5.5	52.5	56	97.55	25.3	6.97	60	255	0.11	119	52	36
13 184	83	36.5	33	20	48.64	36.87	5.46	52.5	53	89.34	19.3	7.15	55	225	0.11	121	43	42
14 175	67	33.6	26	19.8	45.37	32.75	2.95	52	54	80.05	21.1	7.12	57	253	0.11	120	44	37
15 182	82	36	32	22.6	49.78	35.32	5.32	51.5	55	96.03	23.7	6.98	58	255	0.11	117	48	40
16 175	65	32	25	18.9	43.37	32.94	6.81	51	52	100.78	18.2	7.23	52	195	0.11	110	44	36
17 189	83	34	28	21.4	44.13	33.57	7.12	50.5	53	81.87	19.3	7.17	54.5	220	0.11	94	48	33
18 190	86	36.5	30.5	21.8	46.74	34.35	5.7	49	56	90.57	25.3	6.97	59	255	0.11	122	56	42
19 179	77	33.5	26.5	19	44.13	33.54	7.84	48.5	53	89.34	19.3	7.17	54	207	0.11	107	48	36
