회사           고정요금 자금수익률 비용/Kw 연부하율 수요성장 판매량 핵비율 총연료비용 
1애리조나       1.06  9.2  151  54.4  1.6  9077   0     0.628
2보스톤         0.89 10.3  202  57.9  2.2  5088  25.3   1.555
3루이지애나     1.43 15.4  113  53.0  3.4  9212   0     1.058
4코몬웰스       1.02 11.2  168  56.0  0.3  6423  34.3   0.700
5콘솔           1.49  8.8  192  51.2  1.0  3300  15.6   2.044
6플로리다       1.32 13.5  111  60.0 -2.2 11127  22.5   1.241
7하와이안       1.22 12.2  175  67.6  2.2  7642   0     1.652
8아이다호       1.10  9.2  245  57.0  3.3 13082   0     0.309
9캔터키         1.34 13.0  168  60.4  7.2  8406   0     0.862
10매디슨         1.12 12.4  197  53.0  2.7  6455  39.2   0.623
11네바다         0.75  7.5  173  51.5  6.5 17441   0     0.768
12뉴잉글랜드     1.13 10.9  178  62.0  3.7  6154   0     1.897
13노던스테이트   1.15 12.7  199  53.7  6.4  7179  50.2   0.527
14오클라호마     1.09 12.0   96  49.8  1.4  9673   0     0.588
15퍼시픽         0.96  7.6  164  62.2 -0.1  6468   0.9   1.400
16푸젯싸운드     1.16  9.9  252  56.0  9.2 15991   0     0.620
17샌디에고       0.76  6.4  136  61.9  9.0  5714   8.3   1.920
18서던캄퍼니     1.05 12.6  150  56.7  2.7 10140   0     1.108
19텍사스         1.16 11.7  104  54.0 -2.1 13507   0     0.636
20위스콘신       1.20 11.8  148  59.9  3.5  7287  41.1   0.702
21유나이티드     1.04  8.6  204  61.0  3.5  6650   0     2.116
22버지니아       1.07  9.3  174  54.3  5.9 10093  26.6   1.306      
